pedido_id,cod_cliente,product_id,quantidade,dt_pedido
PED0000001,769,PR0054,4,2026-07-02
PED0000002,555,PR0079,6,2026-07-19
PED0000003,952,PR0067,2,2026-06-17
PED0000004,349,PR0047,4,2026-08-24
PED0000005,538,PR0071,6,2026-08-10
PED0000006,100,PR0001,2,2026-08-23
PED0000007,516,PR0030,2,2026-09-06
PED0000008,511,PR0081,1,2026-08-03
PED0000009,975,PR0041,3,2026-07-08
PED0000010,58,PR0007,1,2026-09-11
PED0000011,453,PR0015,5,2026-07-30
PED0000012,280,PR0104,1,2026-07-19
PED0000013,200,PR0040,5,2026-07-14
PED0000014,811,PR0003,4,2026-06-05
PED0000015,77,PR0088,6,2026-09-09
PED0000016,423,PR0064,3,2026-08-26
PED0000017,214,PR0055,3,2026-08-13
PED0000018,180,PR0108,2,2026-06-24
PED0000019,856,PR0038,4,2026-09-06
PED0000020,436,PR0069,2,2026-06-19
PED0000021,267,PR0090,0,2026-06-26
PED0000022,629,PR0074,6,2026-06-08
PED0000023,309,PR0025,5,2026-07-01
PED0000024,956,PR0082,1,2026-07-05
PED0000025,850,PR0090,4,2026-08-23
PED0000026,71,PR0015,2,2026-07-05
PED0000027,627,PR0020,2,2026-09-09
PED0000028,263,PR0081,3,2026-07-02
PED0000029,349,PR0015,5,2026-07-26
PED0000030,143,PR0106,1,2026-08-02
PED0000031,180,PR0014,3,2026-08-27
PED0000032,52,PR0117,6,2026-08-18
PED0000033,254,PR0081,3,2026-08-31
PED0000034,248,PR0054,1,2026-09-07
PED0000035,7,PR0033,3,2026-06-13
PED0000036,585,PR0042,5,2026-06-10
PED0000037,106,PR0090,6,2026-07-18
PED0000038,93,PR0091,4,2026-06-16
PED0000039,691,PR0026,1,2026-07-22
PED0000040,801,PR0066,5,2026-08-01
PED0000041,901,PR0120,5,2026-06-30
PED0000042,383,PR0031,4,2026-06-11
PED0000043,194,PR0084,6,2026-09-10
PED0000044,706,PR0021,5,2026-07-09
PED0000045,167,PR0101,2,2026-08-28
PED0000046,167,PR0021,3,2026-08-05
PED0000047,624,PR0036,4,2026-08-09
PED0000048,593,PR0056,3,2026-08-21
PED0000049,447,PR0045,4,2026-06-28
PED0000050,396,PR0021,5,2026-06-23
PED0000051,583,PR0077,1,2026-09-13
PED0000052,271,PR0003,4,2026-08-10
PED0000053,621,PR0119,1,2026-07-01
PED0000054,625,PR0007,4,2026-08-07
PED0000055,763,PR0041,3,2026-07-12
PED0000056,236,PR0112,2,2026-08-30
PED0000057,377,PR0019,6,2026-07-24
PED0000058,71,PR0009,2,2026-07-03
PED0000059,324,PR0090,1,2026-08-12
PED0000060,545,PR0009,3,2026-08-18
PED0000061,281,PR0108,5,2026-07-10
PED0000062,630,PR0055,1,2026-08-18
PED0000063,776,PR0105,3,2026-06-25
PED0000064,937,PR0030,3,2026-06-26
PED0000065,126,PR0017,6,2026-08-26
PED0000066,771,PR0116,1,2026-08-05
PED0000067,43,PR0092,1,2026-06-04
PED0000068,25,PR0110,4,2026-08-10
PED0000069,190,PR0039,2,2026-07-03
PED0000070,274,PR0049,5,2026-06-29
PED0000071,19,PR0070,2,2026-07-15
PED0000072,860,PR0054,4,2026-07-18
PED0000073,983,PR0030,0,2026-09-02
PED0000074,625,PR0046,5,2026-07-16
PED0000075,624,PR0074,4,2026-07-02
PED0000076,109,PR0005,1,2026-08-21
PED0000077,985,PR0041,2,2026-07-27
PED0000078,281,PR0036,1,2026-06-01
PED0000079,457,PR0009,1,2026-08-06
PED0000080,306,PR0015,5,2026-07-23
PED0000081,107,PR0060,3,2026-07-31
PED0000082,172,PR0013,5,2026-06-20
PED0000083,625,PR0042,2,2026-07-21
PED0000084,739,PR0068,5,2026-08-07
PED0000085,545,PR0105,4,2026-08-11
PED0000086,426,PR0012,4,2026-08-11
PED0000087,847,PR0053,5,2026-09-13
PED0000088,278,PR0013,5,2026-07-23
PED0000089,30,PR0052,5,2026-07-16
PED0000090,638,PR0058,5,2026-07-27
PED0000091,154,PR0096,3,2026-07-05
PED0000092,588,PR0054,5,2026-07-04
PED0000093,167,PR0113,6,2026-08-12
PED0000094,190,PR0017,5,2026-07-03
PED0000095,69,PR0007,4,2026-08-18
PED0000096,494,PR0001,1,2026-08-18
PED0000097,405,PR0043,3,2026-09-09
PED0000098,178,PR0024,1,2026-06-14
PED0000099,60,PR0011,1,2026-07-09
PED0000100,698,PR0029,3,2026-08-21
PED0000101,999999,PR0117,3,2026-07-16
